==============================================================================
  NATAL@5 SCOUR MARCH — the 17-tile
==============================================================================

  Tile:            @17  (width W = 510,510)
  Natal@5 set:     14850  slots  (r ≡ 11 or 17 mod 30 = Houses 11,17 = (2/3)·D_17)
  Scour range:     primes 19 … 714 (q ≤ √W = 714.5)

  Cumulative (tree) march: each prime removes ONLY members not already
  removed by a smaller prime. A "self-strike" removes the slot at position
  q itself — that is a TWIN PRIME FOUND, not a destruction (proven).

   q  | fresh | self=twin | genuine | cumulative | alive |  ratio | 2/q
       | rmvd  |  found    |  kills  |  removed   |       |        |
  ------------------------------------------------------------------------
  509 |   14  |     0     |    14   |   11604    |  3246 | 0.0043 | 0.0039
  521 |   11  |     1     |    10   |   11615    |  3235 | 0.0034 | 0.0038
  523 |   11  |     0     |    11   |   11626    |  3224 | 0.0034 | 0.0038
  541 |    7  |     0     |     7   |   11633    |  3217 | 0.0022 | 0.0037
  547 |    9  |     0     |     9   |   11642    |  3208 | 0.0028 | 0.0037
  557 |   11  |     0     |    11   |   11653    |  3197 | 0.0034 | 0.0036
  563 |    7  |     0     |     7   |   11660    |  3190 | 0.0022 | 0.0036
  569 |    7  |     0     |     7   |   11667    |  3183 | 0.0022 | 0.0035
  571 |    7  |     0     |     7   |   11674    |  3176 | 0.0022 | 0.0035
  577 |    5  |     0     |     5   |   11679    |  3171 | 0.0016 | 0.0035
  587 |    9  |     0     |     9   |   11688    |  3162 | 0.0028 | 0.0034
  593 |    5  |     0     |     5   |   11693    |  3157 | 0.0016 | 0.0034
  599 |    9  |     0     |     9   |   11702    |  3148 | 0.0029 | 0.0033
  601 |    7  |     0     |     7   |   11709    |  3141 | 0.0022 | 0.0033
  607 |    3  |     0     |     3   |   11712    |  3138 | 0.0010 | 0.0033
  613 |    5  |     0     |     5   |   11717    |  3133 | 0.0016 | 0.0033
  617 |    6  |     1     |     5   |   11723    |  3127 | 0.0019 | 0.0032
  619 |    4  |     0     |     4   |   11727    |  3123 | 0.0013 | 0.0032
  631 |    4  |     0     |     4   |   11731    |  3119 | 0.0013 | 0.0032
  641 |    3  |     1     |     2   |   11734    |  3116 | 0.0010 | 0.0031
  643 |    2  |     0     |     2   |   11736    |  3114 | 0.0006 | 0.0031
  647 |    3  |     0     |     3   |   11739    |  3111 | 0.0010 | 0.0031
  653 |    3  |     0     |     3   |   11742    |  3108 | 0.0010 | 0.0031
  659 |    3  |     0     |     3   |   11745    |  3105 | 0.0010 | 0.0030
  661 |    2  |     0     |     2   |   11747    |  3103 | 0.0006 | 0.0030
  673 |    1  |     0     |     1   |   11748    |  3102 | 0.0003 | 0.0030
  677 |    1  |     0     |     1   |   11749    |  3101 | 0.0003 | 0.0030
  683 |    0  |     0     |     0   |   11749    |  3101 | 0.0000 | 0.0029
  691 |    1  |     0     |     1   |   11750    |  3100 | 0.0003 | 0.0029
  701 |    1  |     0     |     1   |   11751    |  3099 | 0.0003 | 0.0029
  709 |    0  |     0     |     0   |   11751    |  3099 | 0.0000 | 0.0028
  ------------------------------------------------------------------------

  TOTAL fresh removals:   11751  of 14850   (79.1%)
    of which self-strikes (TWIN PRIMES FOUND): 16
    genuine kills (composite candidates unmasked): 11735
  Natal@5 SURVIVORS after the Scour to √W: 3099  (20.9%)

  Of the 3099 survivors, 3099 are genuine twin primes (r, r+2 both prime).
  (Survivors that are not yet twins have a factor > √W = 714, i.e. live
   just beyond this tile’s crystallization frontier.)

  READING: fresh removals track 2/q of the survivors at every step
  (natal-blindness); the self-strike column is a running list of twin
  primes discovered; survival converges to Natal@5 · ∏(1−2/q).
==============================================================================
